data_hora,capacidade_instalada,cluster
1998-12-09,5,cluster_NE_1
1999-01-09,5,cluster_NE_1
1999-02-09,5,cluster_NE_1
1999-03-09,5,cluster_NE_1
1999-04-09,5,cluster_NE_1
1999-05-09,5,cluster_NE_1
1999-06-09,5,cluster_NE_1
1999-07-09,5,cluster_NE_1
1999-08-09,5,cluster_NE_1
1999-09-09,5,cluster_NE_1
1999-10-09,5,cluster_NE_1
1999-11-09,5,cluster_NE_1
1999-12-09,5,cluster_NE_1
2000-01-09,5,cluster_NE_1
2000-02-09,5,cluster_NE_1
2000-03-09,5,cluster_NE_1
2000-04-09,5,cluster_NE_1
2000-05-09,5,cluster_NE_1
2000-06-09,5,cluster_NE_1
2000-07-09,5,cluster_NE_1
2000-08-09,5,cluster_NE_1
2000-09-09,5,cluster_NE_1
2000-10-09,5,cluster_NE_1
2000-11-09,5,cluster_NE_1
2000-12-09,5,cluster_NE_1
2001-01-09,5,cluster_NE_1
2001-02-09,5,cluster_NE_1
2001-03-09,5,cluster_NE_1
2001-04-09,5,cluster_NE_1
2001-05-09,5,cluster_NE_1
2001-06-09,5,cluster_NE_1
2001-07-09,5,cluster_NE_1
2001-08-09,5,cluster_NE_1
2001-09-09,5,cluster_NE_1
2001-10-09,5,cluster_NE_1
2001-11-09,5,cluster_NE_1
2001-12-09,5,cluster_NE_1
2002-01-09,5,cluster_NE_1
2002-02-09,5,cluster_NE_1
2002-03-09,5,cluster_NE_1
2002-04-09,5,cluster_NE_1
2002-05-09,5,cluster_NE_1
2002-06-09,5,cluster_NE_1
2002-07-09,5,cluster_NE_1
2002-08-09,5,cluster_NE_1
2002-09-09,5,cluster_NE_1
2002-10-09,5,cluster_NE_1
2002-11-09,5,cluster_NE_1
2002-12-09,5,cluster_NE_1
2003-01-09,5,cluster_NE_1
2003-02-09,5,cluster_NE_1
2003-03-09,5,cluster_NE_1
2003-04-09,5,cluster_NE_1
2003-05-09,5,cluster_NE_1
2003-06-09,5,cluster_NE_1
2003-07-09,5,cluster_NE_1
2003-08-09,5,cluster_NE_1
2003-09-09,5,cluster_NE_1
2003-10-09,5,cluster_NE_1
2003-11-09,5,cluster_NE_1
2003-12-09,5,cluster_NE_1
2004-01-09,5,cluster_NE_1
2004-02-09,5,cluster_NE_1
2004-03-09,5,cluster_NE_1
2004-04-09,5,cluster_NE_1
2004-05-09,5,cluster_NE_1
2004-06-09,5,cluster_NE_1
2004-07-09,5,cluster_NE_1
2004-08-09,5,cluster_NE_1
2004-09-09,5,cluster_NE_1
2004-10-09,5,cluster_NE_1
2004-11-09,5,cluster_NE_1
2004-12-09,5,cluster_NE_1
2005-01-09,5,cluster_NE_1
2005-02-09,5,cluster_NE_1
2005-03-09,5,cluster_NE_1
2005-04-09,5,cluster_NE_1
2005-05-09,5,cluster_NE_1
2005-06-09,5,cluster_NE_1
2005-07-09,5,cluster_NE_1
2005-08-09,5,cluster_NE_1
2005-09-09,5,cluster_NE_1
2005-10-09,5,cluster_NE_1
2005-11-09,5,cluster_NE_1
2005-12-09,5,cluster_NE_1
2006-01-09,5,cluster_NE_1
2006-02-09,5,cluster_NE_1
2006-03-09,5,cluster_NE_1
2006-04-09,5,cluster_NE_1
2006-05-09,5,cluster_NE_1
2006-06-09,5,cluster_NE_1
2006-07-09,5,cluster_NE_1
2006-08-09,54.3,cluster_NE_1
2006-09-09,54.3,cluster_NE_1
2006-10-09,54.3,cluster_NE_1
2006-11-09,54.3,cluster_NE_1
2006-12-09,54.3,cluster_NE_1
2007-01-09,54.3,cluster_NE_1
2007-02-09,54.3,cluster_NE_1
2007-03-09,54.3,cluster_NE_1
2007-04-09,54.3,cluster_NE_1
2007-05-09,54.3,cluster_NE_1
2007-06-09,54.3,cluster_NE_1
2007-07-09,54.3,cluster_NE_1
2007-08-09,54.3,cluster_NE_1
2007-09-09,54.3,cluster_NE_1
2007-10-09,54.3,cluster_NE_1
2007-11-09,54.3,cluster_NE_1
2007-12-09,64.5,cluster_NE_1
2008-01-09,64.5,cluster_NE_1
2008-02-09,64.5,cluster_NE_1
2008-03-09,64.5,cluster_NE_1
2008-04-09,64.5,cluster_NE_1
2008-05-09,64.5,cluster_NE_1
2008-06-09,64.5,cluster_NE_1
2008-07-09,64.5,cluster_NE_1
2008-08-09,64.5,cluster_NE_1
2008-09-09,64.5,cluster_NE_1
2008-10-09,90.1,cluster_NE_1
2008-11-09,90.1,cluster_NE_1
2008-12-09,142.3,cluster_NE_1
2009-01-09,160.3,cluster_NE_1
2009-02-09,219.1,cluster_NE_1
2009-03-09,233.5,cluster_NE_1
2009-04-09,233.5,cluster_NE_1
2009-05-09,233.5,cluster_NE_1
2009-06-09,233.5,cluster_NE_1
2009-07-09,233.5,cluster_NE_1
2009-08-09,233.5,cluster_NE_1
2009-09-09,367.3,cluster_NE_1
2009-10-09,367.3,cluster_NE_1
2009-11-09,421.9,cluster_NE_1
2009-12-09,421.9,cluster_NE_1
2010-01-09,421.9,cluster_NE_1
2010-02-09,478.9,cluster_NE_1
2010-03-09,528.9,cluster_NE_1
2010-04-09,560.4,cluster_NE_1
2010-05-09,560.4,cluster_NE_1
2010-06-09,589.2,cluster_NE_1
2010-07-09,589.2,cluster_NE_1
2010-08-09,589.2,cluster_NE_1
2010-09-09,631.2,cluster_NE_1
2010-10-09,631.2,cluster_NE_1
2010-11-09,631.2,cluster_NE_1
2010-12-09,635.7,cluster_NE_1
2011-01-09,686.7,cluster_NE_1
2011-02-09,686.7,cluster_NE_1
2011-03-09,686.7,cluster_NE_1
2011-04-09,686.7,cluster_NE_1
2011-05-09,686.7,cluster_NE_1
2011-06-09,686.7,cluster_NE_1
2011-07-09,686.7,cluster_NE_1
2011-08-09,686.7,cluster_NE_1
2011-09-09,712.7,cluster_NE_1
2011-10-09,764.7,cluster_NE_1
2011-11-09,790.7,cluster_NE_1
2011-12-09,790.7,cluster_NE_1
2012-01-09,905.75,cluster_NE_1
2012-02-09,920.15,cluster_NE_1
2012-03-09,920.15,cluster_NE_1
2012-04-09,920.15,cluster_NE_1
2012-05-09,959.75,cluster_NE_1
2012-06-09,959.75,cluster_NE_1
2012-07-09,959.75,cluster_NE_1
2012-08-09,959.75,cluster_NE_1
2012-09-09,959.75,cluster_NE_1
2012-10-09,959.75,cluster_NE_1
2012-11-09,985.25,cluster_NE_1
2012-12-09,985.25,cluster_NE_1
2013-01-09,1027.25,cluster_NE_1
2013-02-09,1027.25,cluster_NE_1
2013-03-09,1047.25,cluster_NE_1
2013-04-09,1047.25,cluster_NE_1
2013-05-09,1047.25,cluster_NE_1
2013-06-09,1047.25,cluster_NE_1
2013-07-09,1064.05,cluster_NE_1
2013-08-09,1064.05,cluster_NE_1
2013-09-09,1064.05,cluster_NE_1
2013-10-09,1092.05,cluster_NE_1
2013-11-09,1092.05,cluster_NE_1
2013-12-09,1147.442,cluster_NE_1
2014-01-09,1157.442,cluster_NE_1
2014-02-09,1374.486,cluster_NE_1
2014-03-09,1424.886,cluster_NE_1
2014-04-09,2189.89,cluster_NE_1
2014-05-09,2189.89,cluster_NE_1
2014-06-09,2189.89,cluster_NE_1
2014-07-09,2296.59,cluster_NE_1
2014-08-09,2343.89,cluster_NE_1
2014-09-09,2397.89,cluster_NE_1
2014-10-09,2419.49,cluster_NE_1
2014-11-09,2532.29,cluster_NE_1
2014-12-09,2933.79,cluster_NE_1
2015-01-09,3164.49,cluster_NE_1
2015-02-09,3164.49,cluster_NE_1
2015-03-09,3258.49,cluster_NE_1
2015-04-09,3318.49,cluster_NE_1
2015-05-09,3407.05,cluster_NE_1
2015-06-09,3539.35,cluster_NE_1
2015-07-09,3569.05,cluster_NE_1
2015-08-09,3596.05,cluster_NE_1
2015-09-09,3650.05,cluster_NE_1
2015-10-09,3677.05,cluster_NE_1
2015-11-09,3677.05,cluster_NE_1
2015-12-09,3770.05,cluster_NE_1
2016-01-09,3791.05,cluster_NE_1
2016-02-09,3941.05,cluster_NE_1
2016-03-09,4096.05,cluster_NE_1
2016-04-09,4138.05,cluster_NE_1
2016-05-09,4163.25,cluster_NE_1
2016-06-09,4308.45,cluster_NE_1
2016-07-09,4333.65,cluster_NE_1
2016-08-09,4486.65,cluster_NE_1
2016-09-09,4587.25,cluster_NE_1
2016-10-09,4684.25,cluster_NE_1
2016-11-09,4778.05,cluster_NE_1
2016-12-09,4904.75,cluster_NE_1
2017-01-09,5007.65,cluster_NE_1
2017-02-09,5007.65,cluster_NE_1
2017-03-09,5007.65,cluster_NE_1
2017-04-09,5067.05,cluster_NE_1
2017-05-09,5067.05,cluster_NE_1
2017-06-09,5067.05,cluster_NE_1
2017-07-09,5278.25,cluster_NE_1
2017-08-09,5388.65,cluster_NE_1
2017-09-09,5443.85,cluster_NE_1
2017-10-09,5506.85,cluster_NE_1
2017-11-09,5565.95,cluster_NE_1
2017-12-09,5704.65,cluster_NE_1
2018-01-09,5770.45,cluster_NE_1
2018-02-09,5810.35,cluster_NE_1
2018-03-09,5835.55,cluster_NE_1
2018-04-09,5896.65,cluster_NE_1
2018-05-09,5896.65,cluster_NE_1
2018-06-09,5970.05,cluster_NE_1
2018-07-09,5970.05,cluster_NE_1
2018-08-09,5970.05,cluster_NE_1
2018-09-09,5970.05,cluster_NE_1
2018-10-09,5970.05,cluster_NE_1
2018-11-09,5970.05,cluster_NE_1
2018-12-09,5970.05,cluster_NE_1
2019-01-09,6334.15,cluster_NE_1
2019-02-09,6455.35,cluster_NE_1
2019-03-09,6497.35,cluster_NE_1
2019-04-09,6520.45,cluster_NE_1
2019-05-09,6520.45,cluster_NE_1
2019-06-09,6520.45,cluster_NE_1
2019-07-09,6520.45,cluster_NE_1
2019-08-09,6520.45,cluster_NE_1
2019-09-09,6520.45,cluster_NE_1
2019-10-09,6520.45,cluster_NE_1
2019-11-09,6617.65,cluster_NE_1
2019-12-09,6617.65,cluster_NE_1
2020-01-09,6709.21,cluster_NE_1
2020-02-09,6740.395,cluster_NE_1
2020-03-09,6771.58,cluster_NE_1
2020-04-09,6796.78,cluster_NE_1
2020-05-09,6869.23,cluster_NE_1
2020-06-09,7118.38,cluster_NE_1
2020-07-09,7160.38,cluster_NE_1
2020-08-09,7198.18,cluster_NE_1
2020-09-09,7235.98,cluster_NE_1
2020-10-09,7344.16,cluster_NE_1
2020-11-09,7344.16,cluster_NE_1
2020-12-09,7344.16,cluster_NE_1
2021-01-09,7473.13,cluster_NE_1
2021-02-09,7632.73,cluster_NE_1
2021-03-09,7694.08,cluster_NE_1
2021-04-09,7867.99,cluster_NE_1
2021-05-09,7961.545,cluster_NE_1
2021-06-09,8020.45,cluster_NE_1
2021-07-09,8333.205,cluster_NE_1
2021-08-09,8521.655,cluster_NE_1
2021-09-09,8842.735,cluster_NE_1
2021-10-09,9030.335,cluster_NE_1
2021-11-09,9341.185,cluster_NE_1
2021-12-09,9619.54,cluster_NE_1
2022-01-09,9947.14,cluster_NE_1
2022-02-09,10057.59,cluster_NE_1
2022-03-09,10154.19,cluster_NE_1
2022-04-09,10154.19,cluster_NE_1
2022-05-09,10259.19,cluster_NE_1
2022-06-09,10313.79,cluster_NE_1
2022-07-09,10313.79,cluster_NE_1
2022-08-09,10412.91,cluster_NE_1
2022-09-09,10475.28,cluster_NE_1
2022-10-09,10475.28,cluster_NE_1
2022-11-09,10475.28,cluster_NE_1
2022-12-09,10475.28,cluster_NE_1
2023-01-09,10874.28,cluster_NE_1
2023-02-09,11038.08,cluster_NE_1
2023-03-09,11186.08,cluster_NE_1
2023-04-09,11223.28,cluster_NE_1
2023-05-09,11393.48,cluster_NE_1
2023-06-09,11488.48,cluster_NE_1
2023-07-09,11519.48,cluster_NE_1
2023-08-09,11821.98,cluster_NE_1
2023-09-09,12046.48,cluster_NE_1
2023-10-09,12067.48,cluster_NE_1
2023-11-09,12117.08,cluster_NE_1
2023-12-09,12117.08,cluster_NE_1
2024-01-09,12331.68,cluster_NE_1
2024-02-09,12331.68,cluster_NE_1
2024-03-09,12331.68,cluster_NE_1
2024-04-09,12355.935,cluster_NE_1
2024-05-09,12355.935,cluster_NE_1
2024-06-09,12355.935,cluster_NE_1
2024-07-09,12355.935,cluster_NE_1
2024-08-09,12355.935,cluster_NE_1
2024-09-09,12355.935,cluster_NE_1
2024-10-09,12355.935,cluster_NE_1
2024-11-09,12355.935,cluster_NE_1
2024-12-09,12380.735,cluster_NE_1
2025-01-09,12464.735,cluster_NE_1
2025-02-09,12464.735,cluster_NE_1
2025-03-09,12464.735,cluster_NE_1
2025-04-09,12464.735,cluster_NE_1
2025-05-09,12464.735,cluster_NE_1
2025-06-09,12863.935,cluster_NE_1
2025-07-09,12863.935,cluster_NE_1
2025-08-09,12863.935,cluster_NE_1
2025-09-09,12863.935,cluster_NE_1
2025-10-09,12863.935,cluster_NE_1
2025-11-09,12863.935,cluster_NE_1
2025-12-09,12863.935,cluster_NE_1
2026-01-09,12863.935,cluster_NE_1
2026-02-09,12863.935,cluster_NE_1
2015-07-09,175.5,cluster_NE_2
2015-08-09,175.5,cluster_NE_2
2015-09-09,205.1,cluster_NE_2
2015-10-09,205.1,cluster_NE_2
2015-11-09,205.1,cluster_NE_2
2015-12-09,205.1,cluster_NE_2
2016-01-09,415.1,cluster_NE_2
2016-02-09,617.1,cluster_NE_2
2016-03-09,617.1,cluster_NE_2
2016-04-09,646.7,cluster_NE_2
2016-05-09,646.7,cluster_NE_2
2016-06-09,646.7,cluster_NE_2
2016-07-09,701.7,cluster_NE_2
2016-08-09,701.7,cluster_NE_2
2016-09-09,701.7,cluster_NE_2
2016-10-09,701.7,cluster_NE_2
2016-11-09,701.7,cluster_NE_2
2016-12-09,731.6,cluster_NE_2
2017-01-09,805.2,cluster_NE_2
2017-02-09,805.2,cluster_NE_2
2017-03-09,871.9,cluster_NE_2
2017-04-09,901.8,cluster_NE_2
2017-05-09,927.1,cluster_NE_2
2017-06-09,956.8,cluster_NE_2
2017-07-09,1014.1,cluster_NE_2
2017-08-09,1162.3,cluster_NE_2
2017-09-09,1221.6,cluster_NE_2
2017-10-09,1330.1,cluster_NE_2
2017-11-09,1359.5,cluster_NE_2
2017-12-09,1451.2,cluster_NE_2
2018-01-09,1451.2,cluster_NE_2
2018-02-09,1451.2,cluster_NE_2
2018-03-09,1479.4,cluster_NE_2
2018-04-09,1479.4,cluster_NE_2
2018-05-09,1479.4,cluster_NE_2
2018-06-09,1479.4,cluster_NE_2
2018-07-09,1479.4,cluster_NE_2
2018-08-09,1479.4,cluster_NE_2
2018-09-09,1479.4,cluster_NE_2
2018-10-09,1479.4,cluster_NE_2
2018-11-09,1530.4,cluster_NE_2
2018-12-09,1566.4,cluster_NE_2
2019-01-09,1674.4,cluster_NE_2
2019-02-09,1674.4,cluster_NE_2
2019-03-09,1674.4,cluster_NE_2
2019-04-09,1674.4,cluster_NE_2
2019-05-09,1674.4,cluster_NE_2
2019-06-09,1674.4,cluster_NE_2
2019-07-09,1674.4,cluster_NE_2
2019-08-09,1674.4,cluster_NE_2
2019-09-09,1674.4,cluster_NE_2
2019-10-09,1674.4,cluster_NE_2
2019-11-09,1674.4,cluster_NE_2
2019-12-09,1674.4,cluster_NE_2
2020-01-09,1674.4,cluster_NE_2
2020-02-09,1674.4,cluster_NE_2
2020-03-09,1674.4,cluster_NE_2
2020-04-09,1674.4,cluster_NE_2
2020-05-09,1674.4,cluster_NE_2
2020-06-09,1674.4,cluster_NE_2
2020-07-09,1674.4,cluster_NE_2
2020-08-09,1674.4,cluster_NE_2
2020-09-09,1674.4,cluster_NE_2
2020-10-09,1674.4,cluster_NE_2
2020-11-09,1674.4,cluster_NE_2
2020-12-09,1800.4,cluster_NE_2
2021-01-09,2118.85,cluster_NE_2
2021-02-09,2148.85,cluster_NE_2
2021-03-09,2178.85,cluster_NE_2
2021-04-09,2390.05,cluster_NE_2
2021-05-09,2390.05,cluster_NE_2
2021-06-09,2421.55,cluster_NE_2
2021-07-09,2421.55,cluster_NE_2
2021-08-09,2421.55,cluster_NE_2
2021-09-09,2421.55,cluster_NE_2
2021-10-09,2421.55,cluster_NE_2
2021-11-09,2421.55,cluster_NE_2
2021-12-09,2504.35,cluster_NE_2
2022-01-09,2504.35,cluster_NE_2
2022-02-09,2504.35,cluster_NE_2
2022-03-09,2504.35,cluster_NE_2
2022-04-09,2504.35,cluster_NE_2
2022-05-09,2504.35,cluster_NE_2
2022-06-09,2539.55,cluster_NE_2
2022-07-09,2589.05,cluster_NE_2
2022-08-09,2780.45,cluster_NE_2
2022-09-09,2985.435,cluster_NE_2
2022-10-09,2985.435,cluster_NE_2
2022-11-09,3034.935,cluster_NE_2
2022-12-09,3172.545,cluster_NE_2
2023-01-09,3483.625,cluster_NE_2
2023-02-09,3582.625,cluster_NE_2
2023-03-09,3680.525,cluster_NE_2
2023-04-09,3680.525,cluster_NE_2
2023-05-09,3680.525,cluster_NE_2
2023-06-09,3813.625,cluster_NE_2
2023-07-09,3931.925,cluster_NE_2
2023-08-09,3986.525,cluster_NE_2
2023-09-09,3986.525,cluster_NE_2
2023-10-09,3986.525,cluster_NE_2
2023-11-09,4036.025,cluster_NE_2
2023-12-09,4036.025,cluster_NE_2
2024-01-09,4036.025,cluster_NE_2
2024-02-09,4036.025,cluster_NE_2
2024-03-09,4036.025,cluster_NE_2
2024-04-09,4036.025,cluster_NE_2
2024-05-09,4036.025,cluster_NE_2
2024-06-09,4036.025,cluster_NE_2
2024-07-09,4036.025,cluster_NE_2
2024-08-09,4036.025,cluster_NE_2
2024-09-09,4036.025,cluster_NE_2
2024-10-09,4036.025,cluster_NE_2
2024-11-09,4036.025,cluster_NE_2
2024-12-09,4036.025,cluster_NE_2
2025-01-09,4036.025,cluster_NE_2
2025-02-09,4036.025,cluster_NE_2
2025-03-09,4036.025,cluster_NE_2
2025-04-09,4036.025,cluster_NE_2
2025-05-09,4036.025,cluster_NE_2
2025-06-09,4036.025,cluster_NE_2
2025-07-09,4036.025,cluster_NE_2
2025-08-09,4036.025,cluster_NE_2
2025-09-09,4036.025,cluster_NE_2
2025-10-09,4036.025,cluster_NE_2
2025-11-09,4036.025,cluster_NE_2
2025-12-09,4036.025,cluster_NE_2
2026-01-09,4080.025,cluster_NE_2
2026-02-09,4080.025,cluster_NE_2
2009-02-09,3.23,cluster_NE_3
2009-03-09,3.23,cluster_NE_3
2009-04-09,3.23,cluster_NE_3
2009-05-09,3.23,cluster_NE_3
2009-06-09,3.23,cluster_NE_3
2009-07-09,3.23,cluster_NE_3
2009-08-09,3.23,cluster_NE_3
2009-09-09,3.23,cluster_NE_3
2009-10-09,3.23,cluster_NE_3
2009-11-09,3.23,cluster_NE_3
2009-12-09,3.23,cluster_NE_3
2010-01-09,3.23,cluster_NE_3
2010-02-09,3.23,cluster_NE_3
2010-03-09,3.23,cluster_NE_3
2010-04-09,3.23,cluster_NE_3
2010-05-09,27.98,cluster_NE_3
2010-06-09,27.98,cluster_NE_3
2010-07-09,27.98,cluster_NE_3
2010-08-09,27.98,cluster_NE_3
2010-09-09,27.98,cluster_NE_3
2010-10-09,27.98,cluster_NE_3
2010-11-09,56.03,cluster_NE_3
2010-12-09,56.03,cluster_NE_3
2011-01-09,56.03,cluster_NE_3
2011-02-09,62.33,cluster_NE_3
2011-03-09,62.33,cluster_NE_3
2011-04-09,62.33,cluster_NE_3
2011-05-09,62.33,cluster_NE_3
2011-06-09,62.33,cluster_NE_3
2011-07-09,62.33,cluster_NE_3
2011-08-09,62.33,cluster_NE_3
2011-09-09,62.33,cluster_NE_3
2011-10-09,62.33,cluster_NE_3
2011-11-09,62.33,cluster_NE_3
2011-12-09,62.33,cluster_NE_3
2012-01-09,62.33,cluster_NE_3
2012-02-09,62.33,cluster_NE_3
2012-03-09,62.33,cluster_NE_3
2012-04-09,62.33,cluster_NE_3
2012-05-09,62.33,cluster_NE_3
2012-06-09,62.33,cluster_NE_3
2012-07-09,157.52,cluster_NE_3
2012-08-09,157.52,cluster_NE_3
2012-09-09,192.02,cluster_NE_3
2012-10-09,194.02,cluster_NE_3
2012-11-09,194.02,cluster_NE_3
2012-12-09,194.02,cluster_NE_3
2013-01-09,194.02,cluster_NE_3
2013-02-09,224.02,cluster_NE_3
2013-03-09,284.02,cluster_NE_3
2013-04-09,314.02,cluster_NE_3
2013-05-09,314.02,cluster_NE_3
2013-06-09,332.02,cluster_NE_3
2013-07-09,332.02,cluster_NE_3
2013-08-09,332.02,cluster_NE_3
2013-09-09,332.02,cluster_NE_3
2013-10-09,332.02,cluster_NE_3
2013-11-09,332.02,cluster_NE_3
2013-12-09,332.02,cluster_NE_3
2014-01-09,334.42,cluster_NE_3
2014-02-09,334.42,cluster_NE_3
2014-03-09,334.42,cluster_NE_3
2014-04-09,334.42,cluster_NE_3
2014-05-09,334.42,cluster_NE_3
2014-06-09,334.42,cluster_NE_3
2014-07-09,628.82,cluster_NE_3
2014-08-09,628.82,cluster_NE_3
2014-09-09,628.82,cluster_NE_3
2014-10-09,775.22,cluster_NE_3
2014-11-09,942.92,cluster_NE_3
2014-12-09,942.92,cluster_NE_3
2015-01-09,942.92,cluster_NE_3
2015-02-09,1022.82,cluster_NE_3
2015-03-09,1140.42,cluster_NE_3
2015-04-09,1140.42,cluster_NE_3
2015-05-09,1140.42,cluster_NE_3
2015-06-09,1140.42,cluster_NE_3
2015-07-09,1140.42,cluster_NE_3
2015-08-09,1140.42,cluster_NE_3
2015-09-09,1194.82,cluster_NE_3
2015-10-09,1194.82,cluster_NE_3
2015-11-09,1260.62,cluster_NE_3
2015-12-09,1413.52,cluster_NE_3
2016-01-09,1816.965,cluster_NE_3
2016-02-09,1935.765,cluster_NE_3
2016-03-09,2017.165,cluster_NE_3
2016-04-09,2143.915,cluster_NE_3
2016-05-09,2203.915,cluster_NE_3
2016-06-09,2382.88,cluster_NE_3
2016-07-09,2436.385,cluster_NE_3
2016-08-09,2436.385,cluster_NE_3
2016-09-09,2436.385,cluster_NE_3
2016-10-09,2577.395,cluster_NE_3
2016-11-09,2600.495,cluster_NE_3
2016-12-09,2600.495,cluster_NE_3
2017-01-09,2600.495,cluster_NE_3
2017-02-09,2600.495,cluster_NE_3
2017-03-09,2600.495,cluster_NE_3
2017-04-09,2600.495,cluster_NE_3
2017-05-09,2600.495,cluster_NE_3
2017-06-09,2600.495,cluster_NE_3
2017-07-09,2600.495,cluster_NE_3
2017-08-09,2600.495,cluster_NE_3
2017-09-09,2690.495,cluster_NE_3
2017-10-09,2690.495,cluster_NE_3
2017-11-09,2870.495,cluster_NE_3
2017-12-09,3040.795,cluster_NE_3
2018-01-09,3098.795,cluster_NE_3
2018-02-09,3098.795,cluster_NE_3
2018-03-09,3098.795,cluster_NE_3
2018-04-09,3098.795,cluster_NE_3
2018-05-09,3303.795,cluster_NE_3
2018-06-09,3349.995,cluster_NE_3
2018-07-09,3591.595,cluster_NE_3
2018-08-09,3591.595,cluster_NE_3
2018-09-09,3679.595,cluster_NE_3
2018-10-09,3856.695,cluster_NE_3
2018-11-09,3945.795,cluster_NE_3
2018-12-09,4111.995,cluster_NE_3
2019-01-09,4407.445,cluster_NE_3
2019-02-09,4479.945,cluster_NE_3
2019-03-09,4557.445,cluster_NE_3
2019-04-09,4719.945,cluster_NE_3
2019-05-09,4794.945,cluster_NE_3
2019-06-09,4794.945,cluster_NE_3
2019-07-09,4794.945,cluster_NE_3
2019-08-09,4794.945,cluster_NE_3
2019-09-09,4824.345,cluster_NE_3
2019-10-09,4860.345,cluster_NE_3
2019-11-09,4860.345,cluster_NE_3
2019-12-09,4894.345,cluster_NE_3
2020-01-09,4894.345,cluster_NE_3
2020-02-09,4914.345,cluster_NE_3
2020-03-09,4934.345,cluster_NE_3
2020-04-09,4934.345,cluster_NE_3
2020-05-09,4934.345,cluster_NE_3
2020-06-09,5035.145,cluster_NE_3
2020-07-09,5035.145,cluster_NE_3
2020-08-09,5085.545,cluster_NE_3
